#Name,Mackerel,Lavender,Resin,Olive,Grapes,Flax,Murex Snail,Sandarac,Oyster,Sturgeon,Marble,Iron,Mineral,Gold Ore,Mountains,Rivers,Size
N,,1,,,,1,1,,1,1,,1,,,6,10,XL
E,1,,,,,1,1,,1,,,1,,1,8,9,XL
S,,1,,,1,1,,,1,,,1,,1,6,13,XL
W,1,,,,1,,1,,,1,,1,,1,7,13,XL
225,,1,1,1,,1,1,,,,1,,,,4,0,S
270,,1,1,1,,,1,,1,,1,,,,8,9,L
290,1,,1,1,,1,1,,,,,1,,,5,7,M
315,1,,1,1,1,1,,,,,,1,,,4,0,S
340,,1,,,,1,1,1,,,,1,1,,6,5,M
000,1,,,,1,,,1,1,,,1,1,,4,5,M
010,,1,,,,,,1,,1,1,,1,1,4,2,S
030,1,,1,1,,,1,,1,,,1,,,5,2,M
045,,1,,,1,,,1,1,,1,,1,,3,0,S
090,1,,,,,,,1,,1,,1,1,1,8,10,L
100,1,,,,1,1,,1,,,1,,1,,5,0,S
135,,1,,,1,,,1,,1,1,,1,,8,9,L
160,1,,1,1,1,,,,1,,1,,,,3,0,S
200,,1,1,1,,,,,,1,,1,,1,6,12,L
